gene	g4_fc	padj	location	rna_fc	label
CRBN	1.64326386958456	NA	Intergenic	-0.0735509603377648	NA
CREB1	-6.28841042484628	NA	Intron	-0.206185851939863	NA
CREB5	-0.62094670172365	NA	Intron	-0.352619309329985	NA
CREBL2	-1.0351418516994	NA	Intergenic	0.157319600402339	NA
CREM	-0.572447772710504	1	Intron	-0.579046057037082	NA
CRIP2	-0.681992822439115	NA	Intron	-1.18903990539691	NA
CRISPLD2	-0.265038487455594	NA	Intron	0.0136203842889597	NA
CROT	1.17984519293424	NA	Intron	-0.0484453646855728	NA
CRPPA-AS1	17.5936400083961	NA	Intron	0.10536777511408	NA
CSMD1	0	NA	Intron	0.0445725727270438	NA
CSMD2-AS1	0	NA	Intron	0.0453037873857596	NA
CSMD3	2.50835265708344	NA	Intergenic	0.0177583646400268	NA
CSNK1A1P1	8.07914727148058	NA	Intron	-0.88890820783682	NA
CSNK2A3	2.11366028884963	NA	Exon	-1.14882118486481	NA
CTD-2350J17.1	-0.823016826775541	NA	Intron	-0.186126001857553	NA
CTDNEP1	0.0340576220660517	1	UTR	-0.378568948767578	NA
CTDSPL	0	NA	Intron	-0.392211750207952	NA
CTNNA2	-15.275625904012	NA	Intron	-0.110239901227054	NA
CTNNA3	1.29037705029793	NA	Intron	0.122273948237276	NA
CTNNB1	-0.0799748152997518	NA	Intron	-0.091938785656246	NA
CUL4B	0.320539783107322	NA	Intron	-0.146101058116332	NA
CWC15	9.08254838110263	0.0534435171796415	Intron	-0.242463655346801	NA
CWC22	-1.5325841389226	NA	Intergenic	-0.365791530006965	NA
CWF19L2	1.24722569348764	NA	Intergenic	-0.159018340646532	NA
CXCL13	-1.3946570227956	NA	Promoter	-1.03577800987842	NA
CYB5A	-5.94578611135706	NA	Exon	-1.04991376514352	NA
CYFIP2	-0.685069580486237	1	Intron	0.239915016664512	NA
CYP1B1	0	NA	Exon	-0.604575389206371	NA
CYP20A1	0.00610194271231579	1	Promoter	-0.4289327024557	NA
CYP2J2	-15.0869152083819	NA	Intergenic	-1.01183892281957	NA
CYP3A5	-6.64458573843369	NA	Exon	-0.256269446614806	NA
CYRIB	-3.7869639516557	NA	Intergenic	-0.227184809647803	NA
CYTH1	20.5916779114699	NA	Promoter	0.287408430445163	NA
CYTH3	6.38286195733652	NA	Promoter	0.10165674381035	NA
CYYR1-AS1	-2.83967527847764	NA	Intron	0.158829768171955	NA
DAAM2	9.98518834344571	NA	Intron	0.838278231100664	NA
DACT1	-6.98108021782218	NA	Intergenic	0.46241335623652	NA
DAG1	-2.0238118834922	NA	Intron	-0.222089881203982	NA
DAGLB	-0.239560959283848	NA	Intergenic	-0.0411155813031895	NA
DAZL	-15.0705732479739	NA	Intron	0.569675683404821	DAZL
DCAF4	8.78033862517568	0.0379252716199222	UTR	-0.2616960925831	NA
DCAF4L2	5.33730704906583	NA	Exon	-0.554061510881162	NA
DCLK1	22.0217172364393	NA	Promoter	-0.0400447868795529	NA
DCLK2	-8.18442430440522	NA	Intron	-0.0279102032584547	NA
DCTN4	8.78474224150185	NA	Intron	-0.203979808060577	NA
DCUN1D1	-3.69806193385003	NA	Intergenic	-0.367039214561255	NA
DCUN1D3	0	1	Intron	0.39413701266831	NA
DDRGK1	1.36241008948576	NA	Exon	-0.448793047917034	NA
DDX10	-6.49403686980458	NA	Intron	0.0310451728390312	NA
DDX31	-2.11483181045304	NA	Intergenic	-0.0289950763868857	NA
DDX39A	9.44263635083683	NA	Intergenic	-0.336296255337269	NA
DEFB131B	-0.52093671401632	NA	Intron	-0.105576574160107	NA
DENND2B-AS1	-22.026076940217	NA	Intron	-0.0151552215723096	NA
DENND4C	10.720399716013	0.0328342920264512	Intron	-0.0703704993980379	NA
DEPDC1B	0.698108094582784	NA	Intergenic	-1.96570392459544	NA
DERA	3.40744554989726	NA	Intron	-0.508124344796321	NA
DESI2	1.24235405638949	NA	Intron	-0.429604130661392	NA
DFFA	4.54641695939133	NA	Intron	-0.822572519108839	NA
DFFB	-5.31843789575417	NA	Promoter	0.0971391766071247	NA
DGKD	-6.37126850314507	NA	UTR	-0.137490136945887	NA
DGKI	-3.75967692935459	NA	Intron	0.0667710356719429	NA
DGKZ	14.5931836657761	NA	Intron	-0.161024954153972	NA
DHX35	-4.64459622298357	NA	Intron	-0.00590569296189508	NA
DIPK2A	-22.8480211512414	NA	Intergenic	0.0738482965167204	NA
DIRC3	8.4123455412442	NA	Intron	0.361579574224053	NA
DIS3L	-5.51298311972722	NA	Intron	-0.655281126598856	NA
DIXDC1	-2.14957480664277	NA	Intron	-0.539445256008175	NA
DLG2-AS2	-0.45256062182145	1	UTR	0.0973430005924752	NA
DLGAP4	-21.459218479883	NA	Intron	-0.191015184011022	NA
DLX2	0.0477242113060326	NA	Exon	-0.927855917375433	NA
DNAH11	8.22060365031441	NA	Intron	-0.308885833066617	NA
DNAJA2-DT	9.03735864350614	0.0490582426580192	Intergenic	-0.0977377896043541	NA
DNAJC2	-6.27238118122879	NA	Intron	-0.342936722421503	NA
DNAJC5	7.35552091517369	NA	Promoter	0.274423294620938	NA
DNALI1	-5.87051210424781	NA	Exon	-0.694509521274789	NA
DNM1L	-22.755471895932	NA	Intergenic	-0.352933081139681	NA
DNMT3B	3.71847305547837	NA	Intron	-0.206282298035517	NA
DOCK10	-0.239564120244189	NA	Intergenic	-0.00257692197726795	NA
DOCK4-AS1	22.2274014223643	NA	Intron	-0.135544111615267	NA
DOCK5	6.02207897092871	NA	Intron	0.472144470305176	NA
DOCK6	-7.32937485198054	NA	Intron	-0.529459796707848	NA
DOLPP1	-8.16097832023781	NA	UTR	-0.907263184090089	NA
DPF1	8.83227148972604	NA	Exon	-1.05747517168466	DPF1
DPF3	-7.15717212297506	NA	Intron	0.142916569800787	NA
DPM1	-8.25309917756391	NA	Intergenic	-0.16138371063155	NA
DPY19L1	0.613079275606513	NA	Exon	-0.287719407009052	NA
DRP2	-4.57251527644937	NA	Intron	-1.85517585778118	NA
