condition	position_bp	signal
RHPS4	-5950	1.67511677380986
RHPS4	-5850	1.73963407944683
RHPS4	-5750	1.78549850798167
RHPS4	-5650	2.01718609233702
RHPS4	-5550	2.04508836012862
RHPS4	-5450	1.86161077284239
RHPS4	-5350	1.77969575158638
RHPS4	-5250	1.77860896545542
RHPS4	-5150	1.84012725939732
RHPS4	-5050	1.95175628389722
RHPS4	-4950	2.06171849002646
RHPS4	-4850	1.96988312799135
RHPS4	-4750	1.84165349585977
RHPS4	-4650	1.84166360990809
RHPS4	-4550	1.99937813277182
RHPS4	-4450	1.95814545192499
RHPS4	-4350	1.76114851888
RHPS4	-4250	1.63417428691347
RHPS4	-4150	1.68672506618672
RHPS4	-4050	1.82300232911248
RHPS4	-3950	1.9045348940045
RHPS4	-3850	1.91346587425661
RHPS4	-3750	1.73879242557551
RHPS4	-3650	1.59262996334974
RHPS4	-3550	1.63896865765586
RHPS4	-3450	1.70554228762485
RHPS4	-3350	1.72986774535469
RHPS4	-3250	1.76757253416043
RHPS4	-3150	1.77618934006772
RHPS4	-3050	1.67836137492531
RHPS4	-2950	1.75464096053268
RHPS4	-2850	1.87148088122813
RHPS4	-2750	1.8381076344649
RHPS4	-2650	1.74664999632928
RHPS4	-2550	1.69358233762058
RHPS4	-2450	1.67244712153203
RHPS4	-2350	1.69744253717668
RHPS4	-2250	1.85105777474888
RHPS4	-2150	1.97273007981675
RHPS4	-2050	1.86788420169024
RHPS4	-1950	1.65087647545742
RHPS4	-1850	1.68618463879009
RHPS4	-1750	1.83677386500868
RHPS4	-1650	1.92209595435791
RHPS4	-1550	1.88361399467888
RHPS4	-1450	1.8782517954927
RHPS4	-1350	1.90131844691688
RHPS4	-1250	1.91721462672509
RHPS4	-1150	1.86756310676379
RHPS4	-1050	1.79912050732721
RHPS4	-950	1.81334464951768
RHPS4	-850	1.97029775124491
RHPS4	-750	2.06470413501978
RHPS4	-650	2.19507073676123
RHPS4	-550	2.45983712232877
RHPS4	-450	2.78152773044419
RHPS4	-350	3.05346052400194
RHPS4	-250	3.15835827655579
RHPS4	-150	3.28228184978516
RHPS4	-50	3.64335538144154
RHPS4	50	3.64811622647469
RHPS4	150	3.46231236618957
RHPS4	250	3.19782282360641
RHPS4	350	2.84987790641095
RHPS4	450	2.69541567287938
RHPS4	550	2.51472982522835
RHPS4	650	2.23127298480494
RHPS4	750	2.1806740611217
RHPS4	850	2.11878835708391
RHPS4	950	2.13353351111174
RHPS4	1050	2.26419841940073
RHPS4	1150	2.33431303073158
RHPS4	1250	2.18427267928179
RHPS4	1350	2.10606135503514
RHPS4	1450	2.1471931814017
RHPS4	1550	2.06558507887773
RHPS4	1650	1.92701584306974
RHPS4	1750	1.8056062482998
RHPS4	1850	1.74221346416071
RHPS4	1950	1.85295867151353
RHPS4	2050	2.06876989229719
RHPS4	2150	2.03603346666477
RHPS4	2250	1.92171334279942
RHPS4	2350	1.88872017656432
RHPS4	2450	1.95982516094244
RHPS4	2550	1.87914960148536
RHPS4	2650	1.82411194317503
RHPS4	2750	1.83473321534872
RHPS4	2850	1.85509516495461
RHPS4	2950	1.81316658378624
RHPS4	3050	1.7196769573457
RHPS4	3150	1.69300212138975
RHPS4	3250	1.72683798244316
RHPS4	3350	1.86057031346214
RHPS4	3450	1.86624006812167
RHPS4	3550	1.77428572665965
RHPS4	3650	1.78566296610989
RHPS4	3750	1.91820954599778
RHPS4	3850	1.9296438719802
RHPS4	3950	1.81658134649859
RHPS4	4050	1.64914830079959
RHPS4	4150	1.66084002045927
RHPS4	4250	1.8042046097089
RHPS4	4350	1.82207133227101
RHPS4	4450	1.78618736120991
RHPS4	4550	1.7845801979057
RHPS4	4650	1.9282922496372
RHPS4	4750	1.93413407091028
RHPS4	4850	1.73448091944342
RHPS4	4950	1.71712917474319
RHPS4	5050	1.75912738255129
RHPS4	5150	1.81623806997126
RHPS4	5250	1.89596331687676
RHPS4	5350	1.89567812477592
RHPS4	5450	1.85192111256865
RHPS4	5550	1.80140279318783
RHPS4	5650	1.61014101613408
RHPS4	5750	1.48509939507156
RHPS4	5850	1.55632323748684
RHPS4	5950	1.71447697965455
RHPS4	6050	1.90617837338873
RHPS4	6150	1.88796533949862
RHPS4	6250	1.79554788364681
RHPS4	6350	1.76991111817432
RHPS4	6450	1.66569144839655
RHPS4	6550	1.64028796189853
RHPS4	6650	1.68100951151012
RHPS4	6750	1.727277053951
RHPS4	6850	1.83557242272999
RHPS4	6950	1.84721378652932
RHPS4	7050	1.87253323264946
RHPS4	7150	1.91335219042199
RHPS4	7250	2.00181758224967
RHPS4	7350	2.0531347572205
RHPS4	7450	1.98827116182455
RHPS4	7550	1.9506604968557
RHPS4	7650	1.84643620473494
RHPS4	7750	1.78178529983211
RHPS4	7850	1.7131902014626
RHPS4	7950	1.67497947742082
RHPS4	8050	1.94162112961329
RHPS4	8150	2.0658723531571
RHPS4	8250	1.97096373713115
RHPS4	8350	1.94600787599237
RHPS4	8450	1.90958925199898
RHPS4	8550	1.85300906920297
RHPS4	8650	1.85799250064024
RHPS4	8750	1.81677819298296
